Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A1_I3_T7,9,2,916.4709999999994,0,3
A1_I4_T7,9,2,860.4509999999995,0,3
A1_I5_T7,9,2,860.4509999999993,0,3
A1_I6_T7,9,2,886.4889999999992,0,3
A1_I1_T8,18,2,698.1780000000002,2,3
A1_I2_T8,18,2,712.2050000000002,2,3
A1_I3_T8,18,2,740.2590000000001,2,3
A1_I4_T8,18,2,684.239,2,3
A1_I5_T8,18,2,684.2389999999999,2,3
A1_I6_T8,18,2,710.2769999999998,2,3
A2_I1_T1,18,2,908.4069999999996,4,3
A2_I2_T1,18,2,922.4339999999994,4,3
A2_I3_T1,18,2,950.4879999999994,4,3
A2_I4_T1,18,2,894.4679999999994,4,3
A2_I5_T1,18,2,894.4679999999993,4,3
A2_I6_T1,18,2,920.5059999999992,4,3
A2_I1_T2,18,2,912.4389999999994,2,3
A2_I2_T2,18,2,926.4659999999992,2,3
A2_I3_T2,18,2,954.5199999999992,2,3
A2_I4_T2,18,2,898.4999999999993,2,3
A2_I5_T2,18,2,898.4999999999992,2,3
A2_I6_T2,18,2,924.5379999999992,2,3
A2_I1_T3,10,2,683.9750000000001,2,3
A2_I2_T3,10,2,698.0020000000001,2,3
A2_I3_T3,10,2,726.056,2,3
A2_I4_T3,10,2,670.0360000000001,2,3
A2_I5_T3,10,2,670.036,2,3
A2_I6_T3,10,2,696.0739999999998,2,3
A2_I1_T4,18,2,900.4279999999995,1,3
A2_I2_T4,18,2,914.4549999999996,1,3
A2_I3_T4,18,2,942.5089999999994,1,3
A2_I4_T4,18,2,886.4889999999995,1,3
A2_I5_T4,18,2,886.4889999999994,1,3
A2_I6_T4,18,2,912.5269999999992,1,3
A2_I1_T5,18,2,798.2069999999999,2,3
A2_I2_T5,18,2,812.2339999999998,2,3
A2_I3_T5,18,2,840.2879999999998,2,3
A2_I4_T5,18,2,784.2679999999998,2,3
A2_I5_T5,18,2,784.2679999999997,2,3
A2_I6_T5,18,2,810.3059999999996,2,3
A2_I1_T6,12,2,748.1469999999999,0,3
A2_I2_T6,12,2,762.1739999999999,0,3
A2_I3_T6,12,2,790.2279999999998,0,3
A2_I4_T6,12,2,734.2079999999999,0,3
A2_I5_T6,12,2,734.2079999999997,0,3
A2_I6_T6,12,2,760.2459999999996,0,3
A2_I1_T7,9,2,888.4169999999996,0,3
A2_I2_T7,9,2,902.4439999999996,0,3
A2_I3_T7,9,2,930.4979999999996,0,3
A2_I4_T7,9,2,874.4779999999995,0,3
A2_I5_T7,9,2,874.4779999999994,0,3
A2_I6_T7,9,2,900.5159999999993,0,3
A2_I1_T8,18,2,712.205,2,3
A2_I2_T8,18,2,726.232,2,3
A2_I3_T8,18,2,754.286,2,3
A2_I4_T8,18,2,698.2659999999998,2,3
A2_I5_T8,18,2,698.2659999999997,2,3
A2_I6_T8,18,2,724.3039999999996,2,3
A3_I1_T1,18,2,950.4879999999994,4,3
A3_I2_T1,18,2,964.5149999999992,4,3
A3_I3_T1,18,2,992.5689999999992,4,3
A3_I4_T1,18,2,936.5489999999992,4,3
A3_I5_T1,18,2,936.5489999999992,4,3
A3_I6_T1,18,2,962.586999999999,4,3
A3_I1_T2,18,2,954.5199999999992,2,3
A3_I2_T2,18,2,968.5469999999992,2,3
A3_I3_T2,18,2,996.6009999999992,2,3
A3_I4_T2,18,2,940.5809999999992,2,3
A3_I5_T2,18,2,940.580999999999,2,3
A3_I6_T2,18,2,966.6189999999988,2,3
A3_I1_T3,10,2,726.056,2,3
A3_I2_T3,10,2,740.083,2,3
A3_I3_T3,10,2,768.137,2,3
A3_I4_T3,10,2,712.1169999999998,2,3
A3_I5_T3,10,2,712.1169999999997,2,3
A3_I6_T3,10,2,738.1549999999996,2,3
A3_I1_T4,18,2,942.5089999999992,1,3
A3_I2_T4,18,2,956.5359999999991,1,3
A3_I3_T4,18,2,984.5899999999992,1,3
A3_I4_T4,18,2,928.5699999999993,1,3
A3_I5_T4,18,2,928.569999999999,1,3
A3_I6_T4,18,2,954.6079999999988,1,3
A3_I1_T5,18,2,840.2879999999998,2,3
A3_I2_T5,18,2,854.3149999999997,2,3
A3_I3_T5,18,2,882.3689999999997,2,3
A3_I4_T5,18,2,826.3489999999996,2,3
A3_I5_T5,18,2,826.3489999999995,2,3
A3_I6_T5,18,2,852.3869999999994,2,3
A3_I1_T6,12,2,790.2279999999997,0,3
A3_I2_T6,12,2,804.2549999999997,0,3
A3_I3_T6,12,2,832.3089999999996,0,3
A3_I4_T6,12,2,776.2889999999996,0,3
A3_I5_T6,12,2,776.2889999999995,0,3
A3_I6_T6,12,2,802.3269999999994,0,3
A3_I1_T7,9,2,930.4979999999994,0,3
A3_I2_T7,9,2,944.5249999999992,0,3
A3_I3_T7,9,2,972.5789999999992,0,3
A3_I4_T7,9,2,916.5589999999992,0,3
A3_I5_T7,9,2,916.5589999999992,0,3
A3_I6_T7,9,2,942.596999999999,0,3
A3_I1_T8,18,2,754.286,2,3
A3_I2_T8,18,2,768.3129999999999,2,3
A3_I3_T8,18,2,796.3669999999998,2,3
A3_I4_T8,18,2,740.3469999999999,2,3
A3_I5_T8,18,2,740.3469999999998,2,3
A3_I6_T8,18,2,766.3849999999996,2,3
A4_I1_T1,18,2,958.4449999999994,4,3
A4_I2_T1,18,2,972.4719999999992,4,3
A4_I3_T1,18,2,1000.5259999999992,4,3
A4_I4_T1,18,2,944.5059999999992,4,3
A4_I5_T1,18,2,944.5059999999992,4,3
A4_I6_T1,18,2,970.5439999999992,4,3
A4_I1_T2,18,2,962.4769999999992,2,3
A4_I2_T2,18,2,976.5039999999992,2,3
A4_I3_T2,18,2,1004.5579999999992,2,3
A4_I4_T2,18,2,948.5379999999992,2,3
A4_I5_T2,18,2,948.5379999999992,2,3
A4_I6_T2,18,2,974.575999999999,2,3
A4_I1_T3,10,2,734.013,2,3
A4_I2_T3,10,2,748.04,2,3
A4_I3_T3,10,2,776.0939999999999,2,3
A4_I4_T3,10,2,720.0739999999998,2,3
A4_I5_T3,10,2,720.0739999999997,2,3
A4_I6_T3,10,2,746.1119999999996,2,3
A4_I1_T4,18,2,950.4659999999992,1,3
A4_I2_T4,18,2,964.4929999999993,1,3
A4_I3_T4,18,2,992.5469999999992,1,3
A4_I4_T4,18,2,936.5269999999992,1,3
A4_I5_T4,18,2,936.526999999999,1,3
A4_I6_T4,18,2,962.5649999999988,1,3
A4_I1_T5,18,2,848.2449999999998,2,3
A4_I2_T5,18,2,862.2719999999997,2,3
A4_I3_T5,18,2,890.3259999999997,2,3
A4_I4_T5,18,2,834.3059999999997,2,3
A4_I5_T5,18,2,834.3059999999996,2,3
A4_I6_T5,18,2,860.3439999999995,2,3
A4_I1_T6,12,2,798.1849999999998,0,3
A4_I2_T6,12,2,812.2119999999998,0,3
A4_I3_T6,12,2,840.2659999999997,0,3
A4_I4_T6,12,2,784.2459999999996,0,3
A4_I5_T6,12,2,784.2459999999995,0,3
A4_I6_T6,12,2,810.2839999999994,0,3
A4_I1_T7,9,2,938.4549999999994,0,3
A4_I2_T7,9,2,952.4819999999992,0,3
A4_I3_T7,9,2,980.5359999999991,0,3
A4_I4_T7,9,2,924.5159999999992,0,3
