Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A46-T1,2,18,1412.2999999999995,2,2
A48-T2,2,18,2732.374,8,4
A62-T2,2,18,1987.1870000000008,6,2
A59-T4,2,5,1868.7029999999995,8,2
A39-T4,2,5,645.9700000000003,2,3
A66-T7,2,8,1098.597999999999,4,1
A56-T9,2,8,1042.533999999999,4,1
A43-T2,2,18,1394.2409999999998,4,2
A54-T6,2,7,650.9420000000001,2,2
A49-T3,2,18,1404.236,6,2
A59-T7,2,8,2037.0270000000005,8,2
A58-T7,2,8,1084.614999999999,4,1
A59-T6,2,7,1980.919,8,2
A67-T6,2,7,1056.5169999999994,4,1
A59-T2,2,18,2606.1710000000003,8,2
A49-T7,2,8,1123.6959999999992,4,2
A14-T5,2,6,1576.3319999999992,6,4
A54-T8,2,9,678.996,2,2
A67-T4,2,5,1000.4089999999992,4,1
A8-T10,2,10,734.1639999999998,2,3
A11-T7,2,8,745.1429999999999,2,2
A61-T8,2,9,1097.6579999999988,4,2
A14-T6,2,7,1618.412999999999,6,4
A14-T7,2,8,1660.4939999999997,6,4
A40-T1,2,18,1413.2879999999998,2,3
A56-T5,2,6,986.4259999999992,4,1
A69-T6,2,7,1081.614999999999,4,2
