src_A,src_B,mean_tanimoto,max_tanimoto,n_pairs
KW_2014,KZ_2016,0.3278990546138151,0.6666666666666666,9650
KZ_2016,NC_2024,0.32763928274912335,0.5681818181818182,2575
KL_2010,LX_2024_3,0.3273886460607398,0.6764705882352942,415
BL_2024,YR_2024,0.3272067611511738,0.5576923076923077,836
JC_2023,SB_2024,0.32716287942976624,0.4444444444444444,12
JC_2023,ZH_2023,0.3263927311311212,0.5344827586206896,429
KS_2024,YZ_2024,0.3263351753714953,0.36,889
KS_2024,YZ_2022,0.32626666864677256,0.36,932
NC_2024,SL_2020,0.32512039816639715,0.423728813559322,133
AP_2025,SY_2025,0.3250086753638039,0.39080459770114945,10
KS_2024,SP_2020,0.32485033194262164,0.36,43
LR_2023,SX_2025,0.32461579244828503,0.4868421052631579,278
KS_2024,YX_2023,0.3241855044246528,0.4444444444444444,168
BL_2024,YY_2023,0.3236101381449815,0.48214285714285715,388
YX_2024,ZL_2022,0.3234355948252663,0.6111111111111112,1022
KW_2014,LX_2024_2,0.3229078400294327,0.6530612244897959,1506
LX_2024_2,LZ_2025,0.32200584782405833,0.5918367346938775,144
BL_2023,NC_2024,0.3215418168012149,0.5925925925925926,1196
SB_2024,XH_2024,0.32125786163522013,0.36,3
RG_2023,YY_2023,0.3208268727597882,0.4411764705882353,182
AP_2025,RG_2023,0.3201324418199753,0.44047619047619047,162
NC_2024,YX_2023,0.3200969002040485,0.5454545454545454,314
NC_2024,YZ_2024,0.31987766488677205,0.4339622641509434,1663
SL_2020,YY_2023,0.319832139480021,0.4307692307692308,50
NC_2024,YZ_2022,0.3197967602676413,0.4339622641509434,1746
AP_2025,SB_2024,0.319373075100687,0.3880597014925373,6
LX_2024_2,SB_2024,0.3193411186167777,0.46551724137931033,12
BL_2024,KW_2014,0.31879955001905275,0.52,3936
AA_2008,LR_2023,0.3187981040451619,0.6666666666666666,1049
KW_2014,YX_2023,0.3186182137482065,0.625,1177
LR_2023,SL_2020,0.31837124412742185,0.4861111111111111,181
NC_2024,SP_2020,0.31817574362168455,0.4339622641509434,83
BL_2024,ZL_2022,0.317922353099979,0.4861111111111111,274
ZC_2023,ZL_2022,0.31788432986707627,0.423728813559322,58
LX_2024_2,SY_2025,0.317686439174497,0.3888888888888889,20
BroadPharm_2024,YY_2023,0.3175575632321741,0.5531914893617021,142
BroadPharm_2024,KS_2024,0.31731511325849504,0.6046511627906976,205
SB_2024,ZC_2023,0.3173005919484793,0.3611111111111111,6
AP_2025,YY_2023,0.3172739282458886,0.44776119402985076,64
SS_2018,YX_2023,0.31725556960402734,0.56,9
LZ_2025,ZC_2023,0.3171304970407935,0.3684210526315789,82
YX_2024,YY_2023,0.31698465734856784,0.49056603773584906,1436
AP_2025,ZC_2023,0.3168362768834925,0.4268292682926829,76
KZ_2016,YR_2024,0.3166135030323535,0.5625,2050
KS_2024,KZ_2016,0.3161170605891669,0.5909090909090909,1375
JC_2023,LR_2023,0.3159208453490621,0.49333333333333335,591
SX_2025,YX_2023,0.3157237492930625,0.423728813559322,122
YR_2024,YX_2024,0.31535374244180836,0.56,3100
KW_2014,YX_2024,0.3152434573668166,0.55,14592
RG_2023,SX_2025,0.3149082857437587,0.42696629213483145,192
XH_2024,YR_2024,0.3143078596634512,0.5555555555555556,98
SY_2025,YX_2024,0.3140834714694829,0.4642857142857143,190
