Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
28A4-P9,4,9,1190.4069999999997
28A4-P10,4,10,1246.5149999999994
28A4-P11,4,11,1302.6229999999996
28A4-P12,4,12,1358.7309999999998
28A4-P13,4,13,1414.839
28A4-P14,4,14,1470.947
28A4-P15,4,15,1527.0550000000003
28A4-P16,4,16,1583.1630000000005
28A5-P4,5,4,1090.0069999999996
28A5-P5,5,5,1160.1419999999996
28A5-P6,5,6,1230.2769999999996
28A5-P7,5,7,1300.4119999999996
28A5-P8,5,8,1370.547
28A5-P9,5,9,1440.6819999999996
28A5-P10,5,10,1510.816999999999
28A5-P11,5,11,1580.9519999999995
28A5-P12,5,12,1651.0869999999998
28A5-P13,5,13,1721.222
28A5-P14,5,14,1791.357
28A5-P15,5,15,1861.492
28A5-P16,5,16,1931.6270000000004
